AK,Alaska,54.8%,54.5%,Official,http://www.elections.alaska.gov/results/18GENR/,285009,283134,519913,10,232484605
AL,Alabama,47.0%,46.9%,Certified,https://www.sos.alabama.gov/sites/default/files/voter-pdfs/2018/2018-Official-General-Election-Results-Certified-2018-11-27.pdf,1721906,1719589,3666511,69,
AR,Arkansas,41.3%,41.0%,Official,https://results.enr.clarityelections.com/AR/92174/Web02-state.220747/#/,898793,891509,2176226,41,
AZ,Arizona,47.4%,46.9%,Certified,https://azsos.gov/sites/default/files/2018%201203%20Signed%20Official%20Statewide%20Canvass.pdf,2409910,2384308,5082126,95,
CA,California,49.3%,48.3%,Certified,https://www.sos.ca.gov/elections/prior-elections/statewide-election-results/general-election-november-6-2018/statement-vote/,12712542,12464235,25782389,484,
CO,Colorado,61.4%,60.0%,Certified,https://results.enr.clarityelections.com/CO/91808/Web02-state.220747/#/,2583580,2525062,4210816,79,
CT,Connecticut,54.8%,54.2%,Certified,https://ctemspublic.pcctg.net/#/home,1421953,1406803,2597134,49,
DC,District of Columbia,43.7%,42.4%,Certified,https://electionresults.dcboe.org/election_results/2018-General-Election,231482,224658,529560,10,
DE,Delaware,51.2%,50.8%,Certified,https://elections.delaware.gov/results/html/election.shtml,365467,362592,713781,13,
FL,Florida,54.3%,53.6%,Official,https://floridaelectionwatch.gov/Home,8318824,8220561,15333067,288,
GA,Georgia,54.1%,53.9%,Official,https://results.enr.clarityelections.com/GA/91639/Web02-state.220747/#/,3949905,3939328,7303056,137,
HI,Hawaii,39.5%,38.7%,Final,https://elections.hawaii.gov/election-results/,398657,390843,1009561,19,
IA,Iowa,57.9%,57.6%,Certified,https://results.enr.clarityelections.com/IA/91323/Web02-state.220747/#/,1334279,1327638,2303627,43,
ID,Idaho,48.6%,48.0%,Certified,https://sos.idaho.gov/elect/results/2018/General/statewide_totals.html,612536,605131,1260630,24,
IL,Illinois,51.5%,50.8%,Official,https://www.elections.il.gov/Downloads/ElectionInformation/VoteTotals/2018GEOfficialVote.pdf,4635541,4570842,8999121,169,
IN,Indiana,46.5%,46.0%,Official,https://indianaenr.blob.core.usgovcloudapi.net/site/index.html,2308258,2282565,4960307,93,
KS,Kansas,51.1%,50.8%,Official,https://www.kssos.org/elections/18elec/2018_General_Election_Official_Votes_Cast.pdf,1060000,1055566,2076345,39,
KY,Kentucky,48.7%,47.4%,Certified,https://elect.ky.gov/results/2010-2019/Documents/2018GeneralElectionCertified.pdf,1612353,1569798,3310636,62,
LA,Louisiana,45.1%,43.4%,Official,https://voterportal.sos.la.gov/Graphical,1519405,1460585,3367670,63,
MA,Massachusetts,54.6%,53.7%,Certified,http://www.sec.state.ma.us/ele/elepdf/2018_Return_of_Votes.pdf,2752665,2707090,5037366,94,
