state,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,1,0.4285,0.5684,0.5272,0.2155,0.5468,0.2309,0.1858,0.2201,0.2911,0.2126,0.1961,0.6466,0.6863,0.2246,0.6229,0.6896,0.6403,0.2916,0.219,0.1918,0.5057,0.4845,0.5888,0.5837,0.3026,0.6484,0.447,0.6914,0.6208,0.4783,0.1752,0.3496,0.3473,0.1799,0.5161,0.6706,0.5923,0.4743,0.3466,0.3661,0.6888,0.5464,0.3845,0.5824,0.2645,0.432,0.5399,0.5744,0.5945,0.6808
AL,0.4285,1,0.7671,0.2295,0.2246,0.2838,0.2141,0.1633,0.4717,0.4213,0.7069,0.2113,0.6197,0.5761,0.1928,0.6998,0.6554,0.7456,0.7686,0.1946,0.1901,0.5217,0.6387,0.5385,0.7218,0.7632,0.6138,0.8201,0.6047,0.5358,0.4503,0.191,0.2013,0.2084,0.1951,0.6492,0.6997,0.4633,0.5579,0.2194,0.8301,0.6194,0.779,0.2204,0.2846,0.5299,0.3801,0.2889,0.5713,0.6979,0.6357
AR,0.5684,0.7671,1,0.2972,0.2054,0.3889,0.2023,0.1588,0.426,0.4002,0.5866,0.1941,0.6782,0.6506,0.2199,0.7441,0.7283,0.7857,0.6638,0.1871,0.1804,0.5507,0.6439,0.6008,0.7449,0.6579,0.6724,0.7765,0.68,0.597,0.4829,0.1824,0.1973,0.2126,0.1873,0.6633,0.7452,0.5453,0.5756,0.2571,0.7485,0.7009,0.7898,0.2096,0.3737,0.4883,0.414,0.385,0.6173,0.7332,0.7014
AZ,0.5272,0.2295,0.2972,1,0.58,0.5953,0.5149,0.1579,0.3583,0.6086,0.2107,0.4515,0.4781,0.5063,0.5393,0.4491,0.4209,0.4,0.2183,0.4982,0.1916,0.4675,0.4942,0.5048,0.4165,0.2072,0.4537,0.2602,0.415,0.4873,0.4733,0.5281,0.5879,0.7882,0.5382,0.4948,0.4042,0.5714,0.5414,0.5988,0.2388,0.4213,0.3102,0.5742,0.5444,0.2756,0.3928,0.6716,0.5324,0.3892,0.4088
CA,0.2155,0.2246,0.2054,0.58,1,0.2785,0.2972,0.242,0.2074,0.3455,0.2222,0.7054,0.2139,0.2024,0.3331,0.2068,0.2159,0.2148,0.2164,0.3189,0.1894,0.2256,0.2315,0.2294,0.2164,0.2333,0.2138,0.2265,0.2044,0.2001,0.2327,0.5045,0.6479,0.6109,0.5492,0.2239,0.2163,0.2179,0.2392,0.3122,0.2327,0.2042,0.2111,0.5993,0.2343,0.2058,0.2155,0.3142,0.2334,0.1963,0.2
CO,0.5468,0.2838,0.3889,0.5953,0.2785,1,0.5476,0.1617,0.3332,0.3967,0.2104,0.196,0.6273,0.6349,0.5196,0.5769,0.6512,0.5394,0.2087,0.6111,0.2022,0.5812,0.5697,0.7368,0.5802,0.2061,0.6262,0.3776,0.6029,0.6446,0.6373,0.4302,0.2367,0.3906,0.4061,0.5915,0.4915,0.7089,0.6341,0.6021,0.2729,0.58,0.4453,0.2555,0.6561,0.537,0.5334,0.7673,0.6484,0.4976,0.561
CT,0.2309,0.2141,0.2023,0.5149,0.2972,0.5476,1,0.1528,0.6208,0.6081,0.2173,0.2596,0.4703,0.3771,0.6519,0.3516,0.3159,0.3089,0.2102,0.7787,0.4169,0.6312,0.5686,0.5679,0.3875,0.1965,0.4723,0.2776,0.3467,0.4241,0.6755,0.6708,0.2874,0.4602,0.5947,0.5132,0.1934,0.5449,0.6457,0.7301,0.2402,0.3507,0.2239,0.2038,0.3929,0.5737,0.6485,0.6474,0.5886,0.3377,0.3275
DC,0.1858,0.1633,0.1588,0.1579,0.242,0.1617,0.1528,1,0.1502,0.1623,0.1673,0.1805,0.1703,0.1678,0.1505,0.1664,0.1745,0.1757,0.1637,0.2252,0.568,0.1618,0.1631,0.1656,0.1619,0.1456,0.1739,0.1696,0.1692,0.1614,0.1606,0.2944,0.1366,0.1355,0.3499,0.1548,0.165,0.1548,0.1614,0.1259,0.1652,0.167,0.1625,0.1432,0.1644,0.1599,0.1594,0.1436,0.1637,0.1679,0.1621
DE,0.2201,0.4717,0.426,0.3583,0.2074,0.3332,0.6208,0.1502,1,0.6547,0.4934,0.1887,0.5782,0.4549,0.6165,0.5389,0.4065,0.5033,0.5245,0.5283,0.4451,0.655,0.7353,0.5843,0.5638,0.4078,0.5335,0.5701,0.437,0.4852,0.6317,0.4414,0.2012,0.3844,0.4364,0.677,0.2991,0.5163,0.7276,0.6023,0.5626,0.4471,0.4595,0.2038,0.3296,0.6874,0.6141,0.4819,0.6607,0.5053,0.4201
FL,0.2911,0.4213,0.4002,0.6086,0.3455,0.3967,0.6081,0.1623,0.6547,1,0.3499,0.3071,0.4969,0.4465,0.5803,0.4993,0.3956,0.476,0.3821,0.4812,0.332,0.6092,0.6613,0.516,0.5107,0.3111,0.5006,0.4903,0.3627,0.4529,0.5872,0.558,0.3947,0.6214,0.5279,0.6169,0.3856,0.5853,0.708,0.6079,0.4789,0.4069,0.4409,0.2906,0.263,0.5161,0.4932,0.5431,0.603,0.5085,0.4121
GA,0.2126,0.7069,0.5866,0.2107,0.2222,0.2104,0.2173,0.1673,0.4934,0.3499,1,0.2009,0.4246,0.3759,0.2239,0.5326,0.4377,0.5495,0.8098,0.2196,0.2901,0.3205,0.5258,0.3514,0.5542,0.7904,0.3744,0.7018,0.3953,0.3539,0.26,0.2282,0.2301,0.2196,0.243,0.5206,0.4776,0.2638,0.4268,0.2061,0.7472,0.3954,0.615,0.2377,0.2213,0.501,0.2227,0.2099,0.3919,0.4906,0.4012
