year,office,state,,election_date,forecast_date,forecast_type,party,candidate,projected_voteshare,actual_voteshare,probwin,probwin_outcome
2016,President,AL,,2016-11-08,2016-11-08,polls-plus,R,Trump,58.19371,62.08,0.99915,1
2016,President,AL,,2016-11-08,2016-11-08,polls-plus,D,Clinton,35.84185,34.36,0.00085,0
2016,President,AL,,2016-11-08,2016-11-08,polls-plus,L,Johnson,4.215338,2.09,0,0
2016,President,AK,,2016-11-08,2016-11-08,polls-plus,R,Trump,48.4472,51.28,0.78535,1
2016,President,AK,,2016-11-08,2016-11-08,polls-plus,D,Clinton,40.6525,36.55,0.21435,0
2016,President,AK,,2016-11-08,2016-11-08,polls-plus,L,Johnson,9.308822,5.88,0.0003,0
2016,President,AZ,,2016-11-08,2016-11-08,polls-plus,R,Trump,47.64981,48.08,0.6739,1
2016,President,AZ,,2016-11-08,2016-11-08,polls-plus,D,Clinton,45.33986,44.58,0.326,0
2016,President,AZ,,2016-11-08,2016-11-08,polls-plus,L,Johnson,5.645415,4.08,0.0001,0
2016,President,AR,,2016-11-08,2016-11-08,polls-plus,R,Trump,57.03221,60.57,0.99785,1
2016,President,AR,,2016-11-08,2016-11-08,polls-plus,D,Clinton,36.22161,33.65,0.0021,0
2016,President,AR,,2016-11-08,2016-11-08,polls-plus,L,Johnson,4.979443,2.64,0.00005,0
2016,President,CA,,2016-11-08,2016-11-08,polls-plus,R,Trump,35.57384,31.49,0.0008,0
2016,President,CA,,2016-11-08,2016-11-08,polls-plus,D,Clinton,58.40885,61.48,0.9992,1
2016,President,CA,,2016-11-08,2016-11-08,polls-plus,L,Johnson,4.425359,3.36,0,0
2016,President,CO,,2016-11-08,2016-11-08,polls-plus,R,Trump,43.66629,43.25,0.2239,0
2016,President,CO,,2016-11-08,2016-11-08,polls-plus,D,Clinton,47.66613,48.16,0.77595,1
2016,President,CO,,2016-11-08,2016-11-08,polls-plus,L,Johnson,7.449914,5.18,0.00015,0
