poll_id,question_id,race_id,year,race,location,type_simple,type_detail,pollster,pollster_rating_id,polldate,samplesize,cand1_name,cand1_party,cand1_pct,cand2_name,cand2_party,cand2_pct,cand3_pct,margin_poll,electiondate,cand1_actual,cand2_actual,margin_actual,error,bias,rightcall,comment,partisan
64053,117875,1966,1998,1998_House-G_ID-1,ID-1,House-G,House-G,Garin-Hart-Yang Research Group,113,10/13/1998,372,Dan Williams,DEM,44,Helen Chenoweth,REP,42,,2,11/3/1998,44.73,55.27,-10.53,12.53,12.53,0,for unspecified Democratic spnosor,D
64053,117876,1967,1998,1998_House-G_ID-2,ID-2,House-G,House-G,Garin-Hart-Yang Research Group,113,10/13/1998,400,Richard Stallings,DEM,42,Mike Simpson,REP,36,,6,11/3/1998,44.69,52.51,-7.82,13.82,13.82,0,for unspecified Democratic spnosor,D
28268,33546,8661,1998,1998_House-G_US,US,House-G,House-G,CBS News/The New York Times,36,10/13/1998,600,Democratic,DEM,48,Republican,REP,46,,2,11/3/1998,47.29,48.41,-1.12,3.12,3.12,0,sample size unavailable; estimated at 600 as a default,
28267,33545,8661,1998,1998_House-G_US,US,House-G,House-G,Zogby Interactive/JZ Analytics,395,10/13/1998,864,Democratic,DEM,39,Republican,REP,36,,3,11/3/1998,47.29,48.41,-1.12,4.12,4.12,0,,
64150,118025,2078,1998,1998_House-G_MT-1,MT-1,House-G,House-G,Moore Information,217,10/14/1998,400,Dusty Deschamps,DEM,36,Richard A. Hill,REP,51,,-15,11/3/1998,44.36,53.01,-8.65,6.35,-6.35,1,for unspecified Republican spnosor,R
64394,118462,2140,1998,1998_House-G_NC-8,NC-8,House-G,House-G,Wirthlin Worldwide,387,10/15/1998,505,Mike Taylor,DEM,39,Robert C. Hayes,REP,51,,-12,11/3/1998,48.17,50.71,-2.54,9.46,-9.46,1,for unspecified Republican spnosor,R
28266,117593,8661,1998,1998_House-G_US,US,House-G,House-G,Yankelovich Partners Inc.,390,10/15/1998,442,Democratic,DEM,47,Republican,REP,47,,0,11/3/1998,47.29,48.41,-1.12,1.12,1.12,0.5,,
28265,33543,8661,1998,1998_House-G_US,US,House-G,House-G,Hill Research Consultants,140,10/16/1998,600,Democratic,DEM,41,Republican,REP,38,,3,11/3/1998,47.29,48.41,-1.12,4.12,4.12,0,,
28264,117577,8661,1998,1998_House-G_US,US,House-G,House-G,Pew Research Center,253,10/16/1998,743,Democratic,DEM,43,Republican,REP,48,,-5,11/3/1998,47.29,48.41,-1.12,3.88,-3.88,1,,
64109,117952,1910,1998,1998_House-G_CA-46,CA-46,House-G,House-G,Los Angeles Times,172,10/17/1998,1000,Loretta Sanchez,DEM,48,Robert K. Dornan,REP,34,,14,11/3/1998,56.43,39.28,17.15,3.15,-3.15,1,,
64137,118009,1997,1998,1998_House-G_IN-10,IN-10,House-G,House-G,Massie & Associates,199,10/17/1998,300,Julia M. Carson,DEM,37,Gary Anthony Hofmeister,REP,38,,-1,11/3/1998,58.34,39.37,18.98,19.98,-19.98,0,for unspecified Republican spnosor,R
36811,33541,8661,1998,1998_House-G_US,US,House-G,House-G,ABC News/The Washington Post,3,10/17/1998,548,Democratic,DEM,48,Republican,REP,47,,1,11/3/1998,47.29,48.41,-1.12,2.12,2.12,0,,
54265,117965,1964,1998,1998_House-G_HI-1,HI-1,House-G,House-G,Mason-Dixon Polling & Strategy,197,10/18/1998,221,Neil Abercrombie,DEM,50,Gene Ward,REP,36,,14,11/3/1998,61.56,36.35,25.21,11.21,-11.21,1,,
26243,118432,2012,1998,1998_House-G_KY-6,KY-6,House-G,House-G,TMR Research,328,10/18/1998,700,Ernesto Scorsone,DEM,44,Ernie Fletcher,REP,41,,3,11/3/1998,45.95,53.11,-7.15,10.15,10.15,0,,
64392,118460,2145,1998,1998_House-G_ND-1,ND-1,House-G,House-G,WPA Intelligence (WPAi),383,10/18/1998,300,Earl Pomeroy,DEM,49,Kevin Cramer,REP,40,,9,11/3/1998,56.21,41.11,15.11,6.11,-6.11,1,for unspecified Republican spnosor,R
64108,117951,2260,1998,1998_House-G_WA-1,WA-1,House-G,House-G,Lauer Lalley Victoria Inc.,168,10/18/1998,368,Jay Robert Inslee,DEM,43,Richard Alan White,REP,39,,4,11/3/1998,49.77,44.12,5.66,1.66,-1.66,1,for unspecified Democratic spnosor,D
28262,33540,8661,1998,1998_House-G_US,US,House-G,House-G,Wirthlin Worldwide,387,10/19/1998,416,Democratic,DEM,41,Republican,REP,45,,-4,11/3/1998,47.29,48.41,-1.12,2.88,-2.88,1,,
64121,117966,2078,1998,1998_House-G_MT-1,MT-1,House-G,House-G,Mason-Dixon Polling & Strategy,197,10/20/1998,819,Dusty Deschamps,DEM,37,Richard A. Hill,REP,52,,-15,11/3/1998,44.36,53.01,-8.65,6.35,-6.35,1,,
64387,118453,2246,1998,1998_House-G_UT-2,UT-2,House-G,House-G,Valley Research,368,10/20/1998,452,Lily Eskelsen,DEM,42,Merrill Cook,REP,41,,1,11/3/1998,43.46,52.76,-9.3,10.3,10.3,0,,
64170,118077,1996,1998,1998_House-G_IN-9,IN-9,House-G,House-G,Public Opinion Strategies,260,10/21/1998,300,Baron P. Hill,DEM,41,Jean Leising,REP,51,,-10,11/3/1998,50.76,47.93,2.83,12.83,-12.83,0,for unspecified Republican spnosor,R
64259,118237,2006,1998,1998_House-G_KS-4,KS-4,House-G,House-G,SurveyUSA,325,10/21/1998,500,Jim Lawing,DEM,40,Todd Tiahrt,REP,56,,-16,11/3/1998,38.56,58.26,-19.7,3.7,3.7,1,,
54266,118458,1964,1998,1998_House-G_HI-1,HI-1,House-G,House-G,Ward Research (Honolulu Star-Advertiser),375,10/22/1998,272,Neil Abercrombie,DEM,47,Gene Ward,REP,32,,15,11/3/1998,61.56,36.35,25.21,10.21,-10.21,1,,
28261,33539,8661,1998,1998_House-G_US,US,House-G,House-G,SSRS,297,10/23/1998,600,Democratic,DEM,44,Republican,REP,39,,5,11/3/1998,47.29,48.41,-1.12,6.12,6.12,0,sample size unavailable; estimated at 600 as a default,
26097,117967,1862,1998,1998_House-G_AR-2,AR-2,House-G,House-G,Mason-Dixon Polling & Strategy,197,10/24/1998,420,Vic Snyder,DEM,54,Phil Wyrick,REP,35,,19,11/3/1998,57.97,42.03,15.95,3.05,3.05,1,,
64140,118013,1997,1998,1998_House-G_IN-10,IN-10,House-G,House-G,Massie & Associates,199,10/24/1998,300,Julia M. Carson,DEM,38,Gary Anthony Hofmeister,REP,47,,-9,11/3/1998,58.34,39.37,18.98,27.98,-27.98,0,for unspecified Republican spnosor,R
64395,118463,2246,1998,1998_House-G_UT-2,UT-2,House-G,House-G,Wirthlin Worldwide,387,10/24/1998,303,Lily Eskelsen,DEM,39,Merrill Cook,REP,47,,-8,11/3/1998,43.46,52.76,-9.3,1.3,1.3,1,for unspecified Republican spnosor,R
36812,33538,8661,1998,1998_House-G_US,US,House-G,House-G,ABC News/The Washington Post,3,10/24/1998,581,Democratic,DEM,49,Republican,REP,47,,2,11/3/1998,47.29,48.41,-1.12,3.12,3.12,0,,
28259,117336,8661,1998,1998_House-G_US,US,House-G,House-G,Gallup,112,10/24/1998,519,Democratic,DEM,47,Republican,REP,49,,-2,11/3/1998,47.29,48.41,-1.12,0.88,-0.88,1,,
64398,118466,1888,1998,1998_House-G_CA-24,CA-24,House-G,House-G,Zogby Interactive/JZ Analytics,395,10/25/1998,300,Brad Sherman,DEM,47,Randy Hoffman,REP,34,,13,11/3/1998,57.31,38.49,18.82,5.82,-5.82,1,,
64398,118467,1900,1998,1998_House-G_CA-36,CA-36,House-G,House-G,Zogby Interactive/JZ Analytics,395,10/25/1998,300,Janice Hahn,DEM,30,Steven T. Kuykendall,REP,47,,-17,11/3/1998,46.57,48.89,-2.32,14.68,-14.68,1,,
64399,118468,1918,1998,1998_House-G_CO-2,CO-2,House-G,House-G,Zogby Interactive/JZ Analytics,395,10/25/1998,300,Mark Udall,DEM,36,Bob Greenlee,REP,53,,-17,11/3/1998,49.88,47.45,2.43,19.43,-19.43,0,,
64122,117968,1923,1998,1998_House-G_CT-1,CT-1,House-G,House-G,Mason-Dixon Polling & Strategy,197,10/25/1998,308,John Larson,DEM,55,Kevin James O'Connor,REP,21,,34,11/3/1998,58.05,41.4,16.65,17.35,17.35,1,,
64400,118469,2035,1998,1998_House-G_MA-6,MA-6,House-G,House-G,Zogby Interactive/JZ Analytics,395,10/25/1998,300,John F. Tierney,DEM,52,Peter G. Torkildsen,REP,31,,21,11/3/1998,54.55,42.38,12.18,8.82,8.82,1,,
64401,118470,2067,1998,1998_House-G_MS-4,MS-4,House-G,House-G,Zogby Interactive/JZ Analytics,395,10/25/1998,300,Ronnie Shows,DEM,42,Delbert Hosemann,REP,33,,9,11/3/1998,53.39,44.86,8.53,0.47,0.47,1,,
64124,117970,2101,1998,1998_House-G_NM-3,NM-3,House-G,House-G,Mason-Dixon Polling & Strategy,197,10/25/1998,418,Tom Udall,DEM,45,Bill Redmond,REP,42,,3,11/3/1998,53.16,43.27,9.89,6.89,-6.89,1,,
64402,118471,2101,1998,1998_House-G_NM-3,NM-3,House-G,House-G,Zogby Interactive/JZ Analytics,395,10/25/1998,300,Tom Udall,DEM,52,Bill Redmond,REP,39,,13,11/3/1998,53.16,43.27,9.89,3.11,3.11,1,,
64260,118238,2136,1998,1998_House-G_NC-4,NC-4,House-G,House-G,SurveyUSA,325,10/25/1998,500,David E. Price,DEM,54,Thomas H. Roberg,REP,41,,13,11/3/1998,57.43,41.56,15.87,2.87,-2.87,1,,
