poll_id,question_id,race_id,year,race,location,type_simple,type_detail,pollster,pollster_rating_id,polldate,samplesize,cand1_name,cand1_party,cand1_pct,cand2_name,cand2_party,cand2_pct,cand3_pct,margin_poll,electiondate,cand1_actual,cand2_actual,margin_actual,error,bias,rightcall,comment,partisan
6478,7947,40,2000,2000_Pres-G_US,US,Pres-G,Pres-G,Zogby Interactive/JZ Analytics,395,10/17/2000,1200,Al Gore,DEM,43,George W. Bush,REP,44,,-1,11/7/2000,48.38,47.87,0.52,1.52,-1.52,0,,
6483,7952,815,2000,2000_Pres-G_FL,FL,Pres-G,Pres-G,McLaughlin & Associates,203,10/17/2000,600,Al Gore,DEM,43,George W. Bush,REP,44,,-1,11/7/2000,48.84,48.85,-0.01,0.99,-0.99,1,for Bill McCollum,R
6470,7939,820,2000,2000_Pres-G_IL,IL,Pres-G,Pres-G,KRC/Communications Research,160,10/17/2000,600,Al Gore,DEM,45,George W. Bush,REP,43,,2,11/7/2000,54.6,42.58,12.01,10.01,-10.01,1,,
6473,7942,820,2000,2000_Pres-G_IL,IL,Pres-G,Pres-G,Research 2000,281,10/17/2000,601,Al Gore,DEM,47,George W. Bush,REP,40,,7,11/7/2000,54.6,42.58,12.01,5.01,-5.01,1,,
6474,7943,836,2000,2000_Pres-G_NH,NH,Pres-G,Pres-G,Research 2000,281,10/17/2000,603,Al Gore,DEM,44,George W. Bush,REP,41,,3,11/7/2000,46.8,48.07,-1.27,4.27,4.27,0,,
6472,7941,844,2000,2000_Pres-G_PA,PA,Pres-G,Pres-G,Lincoln Institute,170,10/17/2000,728,Al Gore,DEM,42,George W. Bush,REP,42,,0,11/7/2000,50.6,46.43,4.17,4.17,-4.17,0.5,,
6459,123272,40,2000,2000_Pres-G_US,US,Pres-G,Pres-G,NBC News/The Wall Street Journal,221,10/18/2000,600,Al Gore,DEM,43,George W. Bush,REP,45,,-2,11/7/2000,48.38,47.87,0.52,2.52,-2.52,0,sample size unavailable; estimated at 600 as a default; average of multiple versions or turnout models listed in poll,
63601,117065,40,2000,2000_Pres-G_US,US,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,277,10/18/2000,3750,Al Gore,DEM,46,George W. Bush,REP,41,,5,11/7/2000,48.38,47.87,0.52,4.48,4.48,1,,
6479,7948,807,2000,2000_Pres-G_AL,AL,Pres-G,Pres-G,University of South Alabama,361,10/18/2000,407,Al Gore,DEM,33,George W. Bush,REP,53,,-20,11/7/2000,41.59,56.47,-14.88,5.12,-5.12,1,,
25719,7940,828,2000,2000_Pres-G_MI,MI,Pres-G,Pres-G,EPIC-MRA,84,10/18/2000,600,Al Gore,DEM,43,George W. Bush,REP,43,,0,11/7/2000,51.28,46.14,5.13,5.13,-5.13,0.5,,
63599,117063,828,2000,2000_Pres-G_MI,MI,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,277,10/18/2000,626,Al Gore,DEM,43,George W. Bush,REP,43,,0,11/7/2000,51.28,46.14,5.13,5.13,-5.13,0.5,,
63600,117064,844,2000,2000_Pres-G_PA,PA,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,277,10/18/2000,1043,Al Gore,DEM,42,George W. Bush,REP,43,,-1,11/7/2000,50.6,46.43,4.17,5.17,-5.17,0,,
6529,7998,855,2000,2000_Pres-G_WV,WV,Pres-G,Pres-G,Ohio State University,236,10/18/2000,645,Al Gore,DEM,39,George W. Bush,REP,49,,-10,11/7/2000,45.59,51.92,-6.32,3.68,-3.68,1,among registered voters,
54529,117061,855,2000,2000_Pres-G_WV,WV,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,277,10/18/2000,1036,Al Gore,DEM,42,George W. Bush,REP,44,,-2,11/7/2000,45.59,51.92,-6.32,4.32,4.32,1,,
6449,7918,40,2000,2000_Pres-G_US,US,Pres-G,Pres-G,ABC News/The Washington Post,3,10/19/2000,1020,Al Gore,DEM,45,George W. Bush,REP,47,,-2,11/7/2000,48.38,47.87,0.52,2.52,-2.52,0,,
37111,116971,40,2000,2000_Pres-G_US,US,Pres-G,Pres-G,Fox News/Opinion Dynamics Corp.,104,10/19/2000,900,Al Gore,DEM,42,George W. Bush,REP,45,,-3,11/7/2000,48.38,47.87,0.52,3.52,-3.52,0,,
37110,122044,40,2000,2000_Pres-G_US,US,Pres-G,Pres-G,GQR Research (GQRR),126,10/19/2000,1009,Al Gore,DEM,47.5,George W. Bush,REP,45,,2.5,11/7/2000,48.38,47.87,0.52,1.98,1.98,1,average of multiple versions or turnout models listed in poll,
6458,7927,40,2000,2000_Pres-G_US,US,Pres-G,Pres-G,GQR Research (GQRR),126,10/19/2000,832,Al Gore,DEM,46,George W. Bush,REP,45,,1,11/7/2000,48.38,47.87,0.52,0.48,0.48,1,,
6456,7925,40,2000,2000_Pres-G_US,US,Pres-G,Pres-G,Gallup,112,10/19/2000,718,Al Gore,DEM,40,George W. Bush,REP,51,,-11,11/7/2000,48.38,47.87,0.52,11.52,-11.52,0,,
28095,117046,40,2000,2000_Pres-G_US,US,Pres-G,Pres-G,Princeton Survey Research Associates International,258,10/19/2000,800,Al Gore,DEM,41,George W. Bush,REP,48,,-7,11/7/2000,48.38,47.87,0.52,7.52,-7.52,0,,
6446,7915,807,2000,2000_Pres-G_AL,AL,Pres-G,Pres-G,Capital Survey Research Center,44,10/19/2000,580,Al Gore,DEM,37,George W. Bush,REP,55,,-18,11/7/2000,41.59,56.47,-14.88,3.12,-3.12,1,,
63602,117066,824,2000,2000_Pres-G_LA,LA,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,277,10/19/2000,733,Al Gore,DEM,41,George W. Bush,REP,48,,-7,11/7/2000,44.88,52.55,-7.68,0.68,0.68,1,,
6482,7951,824,2000,2000_Pres-G_LA,LA,Pres-G,Pres-G,University of New Orleans,358,10/19/2000,461,Al Gore,DEM,35,George W. Bush,REP,48,,-13,11/7/2000,44.88,52.55,-7.68,5.32,-5.32,1,average of multiple versions or turnout models listed in poll,
6491,7961,829,2000,2000_Pres-G_MN,MN,Pres-G,Pres-G,St. Cloud State University,312,10/19/2000,514,Al Gore,DEM,38,George W. Bush,REP,41,,-3,11/7/2000,47.91,45.5,2.4,5.4,-5.4,0,,
54474,117054,832,2000,2000_Pres-G_MT,MT,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,277,10/19/2000,968,Al Gore,DEM,28,George W. Bush,REP,56,,-28,11/7/2000,33.36,58.44,-25.07,2.93,-2.93,1,,
6462,7931,841,2000,2000_Pres-G_OH,OH,Pres-G,Pres-G,Mason-Dixon Polling & Strategy,197,10/19/2000,625,Al Gore,DEM,41,George W. Bush,REP,45,,-4,11/7/2000,46.46,49.97,-3.51,0.49,-0.49,1,,
63603,117067,845,2000,2000_Pres-G_RI,RI,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,277,10/19/2000,802,Al Gore,DEM,49,George W. Bush,REP,30,,19,11/7/2000,60.99,31.91,29.08,10.08,-10.08,1,,
6463,7932,852,2000,2000_Pres-G_VT,VT,Pres-G,Pres-G,Mason-Dixon Polling & Strategy,197,10/19/2000,628,Al Gore,DEM,47,George W. Bush,REP,38,,9,11/7/2000,50.63,40.7,9.94,0.94,-0.94,1,,
6451,7920,853,2000,2000_Pres-G_WA,WA,Pres-G,Pres-G,Elway Research,87,10/19/2000,400,Al Gore,DEM,46,George W. Bush,REP,37,,9,11/7/2000,50.13,44.56,5.58,3.42,3.42,1,among registered voters,
6440,121959,40,2000,2000_Pres-G_US,US,Pres-G,Pres-G,ABC News/The Washington Post,3,10/20/2000,1071,Al Gore,DEM,46.5,George W. Bush,REP,48.5,,-2,11/7/2000,48.38,47.87,0.52,2.52,-2.52,0,average of multiple versions or turnout models listed in poll,
28091,116948,40,2000,2000_Pres-G_US,US,Pres-G,Pres-G,American Viewpoint,10,10/20/2000,800,Al Gore,DEM,40,George W. Bush,REP,42,,-2,11/7/2000,48.38,47.87,0.52,2.52,-2.52,0,,
28094,121992,40,2000,2000_Pres-G_US,US,Pres-G,Pres-G,CBS News/The New York Times,36,10/20/2000,712.5,Al Gore,DEM,45.5,George W. Bush,REP,47,,-1.5,11/7/2000,48.38,47.87,0.52,2.02,-2.02,0,sample size unavailable; estimated at 600 as a default; average of multiple versions or turnout models listed in poll,
6460,7929,40,2000,2000_Pres-G_US,US,Pres-G,Pres-G,Pew Research Center,253,10/20/2000,663,Al Gore,DEM,45,George W. Bush,REP,45,,0,11/7/2000,48.38,47.87,0.52,0.52,-0.52,0.5,,
6448,7917,40,2000,2000_Pres-G_US,US,Pres-G,Pres-G,SSRS,297,10/20/2000,653,Al Gore,DEM,41,George W. Bush,REP,43,,-2,11/7/2000,48.38,47.87,0.52,2.52,-2.52,0,,
6435,7904,40,2000,2000_Pres-G_US,US,Pres-G,Pres-G,Zogby Interactive/JZ Analytics,395,10/20/2000,1200,Al Gore,DEM,41,George W. Bush,REP,45,,-4,11/7/2000,48.38,47.87,0.52,4.52,-4.52,0,,
25743,7936,815,2000,2000_Pres-G_FL,FL,Pres-G,Pres-G,Fleming & Associates,96,10/20/2000,606,Al Gore,DEM,41,George W. Bush,REP,46,,-5,11/7/2000,48.84,48.85,-0.01,4.99,-4.99,1,,
6547,8016,849,2000,2000_Pres-G_TX,TX,Pres-G,Pres-G,Scripps Howard,303,10/20/2000,1000,Al Gore,DEM,27,George W. Bush,REP,57,,-30,11/7/2000,37.98,59.3,-21.32,8.68,-8.68,1,among registered voters,
6447,7916,854,2000,2000_Pres-G_WI,WI,Pres-G,Pres-G,Harris Insights & Analytics,133,10/20/2000,587,Al Gore,DEM,40,George W. Bush,REP,49,,-9,11/7/2000,47.83,47.61,0.22,9.22,-9.22,0,,
6455,7924,40,2000,2000_Pres-G_US,US,Pres-G,Pres-G,Georgetown University (Battleground),114,10/21/2000,1000,Al Gore,DEM,39,George W. Bush,REP,45,,-6,11/7/2000,48.38,47.87,0.52,6.52,-6.52,0,,
63586,117028,40,2000,2000_Pres-G_US,US,Pres-G,Pres-G,IBD/TIPP,144,10/21/2000,829,Al Gore,DEM,42,George W. Bush,REP,44,,-2,11/7/2000,48.38,47.87,0.52,2.52,-2.52,0,,
6436,7905,809,2000,2000_Pres-G_AZ,AZ,Pres-G,Pres-G,Arizona State University,15,10/21/2000,600,Al Gore,DEM,39,George W. Bush,REP,49,,-10,11/7/2000,44.67,50.95,-6.28,3.72,-3.72,1,sample size unavailable; estimated at 600 as a default,
63604,117068,809,2000,2000_Pres-G_AZ,AZ,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,277,10/21/2000,610,Al Gore,DEM,37,George W. Bush,REP,49,,-12,11/7/2000,44.67,50.95,-6.28,5.72,-5.72,1,,
6442,15913,810,2000,2000_Pres-G_CA,CA,Pres-G,Pres-G,Los Angeles Times,172,10/21/2000,852,Al Gore,DEM,48,George W. Bush,REP,41,,7,11/7/2000,53.45,41.65,11.8,4.8,-4.8,1,average of multiple versions or turnout models listed in poll,
63605,117069,819,2000,2000_Pres-G_ID,ID,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,277,10/21/2000,890,Al Gore,DEM,24,George W. Bush,REP,62,,-38,11/7/2000,27.64,67.17,-39.53,1.53,1.53,1,,
63606,117070,823,2000,2000_Pres-G_KY,KY,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,277,10/21/2000,944,Al Gore,DEM,39,George W. Bush,REP,48,,-9,11/7/2000,41.37,56.5,-15.13,6.13,6.13,1,,
6422,7890,824,2000,2000_Pres-G_LA,LA,Pres-G,Pres-G,Mason-Dixon Polling & Strategy,197,10/21/2000,624,Al Gore,DEM,39,George W. Bush,REP,52,,-13,11/7/2000,44.88,52.55,-7.68,5.32,-5.32,1,,
6445,7914,824,2000,2000_Pres-G_LA,LA,Pres-G,Pres-G,Southeastern Louisiana University,309,10/21/2000,660,Al Gore,DEM,38,George W. Bush,REP,46,,-8,11/7/2000,44.88,52.55,-7.68,0.32,-0.32,1,,
63729,117323,826,2000,2000_Pres-G_MD,MD,Pres-G,Pres-G,SurveyUSA,325,10/21/2000,500,Al Gore,DEM,52,George W. Bush,REP,41,,11,11/7/2000,56.57,40.18,16.39,5.39,-5.39,1,,
6434,7903,832,2000,2000_Pres-G_MT,MT,Pres-G,Pres-G,Minnesota State University Moorhead,211,10/21/2000,403,Al Gore,DEM,33,George W. Bush,REP,51,,-18,11/7/2000,33.36,58.44,-25.07,7.07,7.07,1,,
25829,117038,832,2000,2000_Pres-G_MT,MT,Pres-G,Pres-G,Montana State University Billings,216,10/21/2000,403,Al Gore,DEM,31,George W. Bush,REP,55,,-24,11/7/2000,33.36,58.44,-25.07,1.07,1.07,1,,
54489,117056,834,2000,2000_Pres-G_ND,ND,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,277,10/21/2000,1258,Al Gore,DEM,34,George W. Bush,REP,49,,-15,11/7/2000,33.05,60.66,-27.6,12.6,12.6,1,,
6464,7933,837,2000,2000_Pres-G_NJ,NJ,Pres-G,Pres-G,Quinnipiac University,267,10/21/2000,909,Al Gore,DEM,47,George W. Bush,REP,41,,6,11/7/2000,56.13,40.29,15.83,9.83,-9.83,1,,
63607,117071,843,2000,2000_Pres-G_OR,OR,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,277,10/21/2000,1352,Al Gore,DEM,38,George W. Bush,REP,43,,-5,11/7/2000,46.96,46.52,0.44,5.44,-5.44,0,,
6443,7913,844,2000,2000_Pres-G_PA,PA,Pres-G,Pres-G,West Chester University,377,10/21/2000,600,Al Gore,DEM,44,George W. Bush,REP,33,,11,11/7/2000,50.6,46.43,4.17,6.83,6.83,1,sample size unavailable; estimated at 600 as a default,
63608,117072,848,2000,2000_Pres-G_TN,TN,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,277,10/21/2000,839,Al Gore,DEM,43,George W. Bush,REP,47,,-4,11/7/2000,47.28,51.15,-3.86,0.14,-0.14,1,,
6454,7923,851,2000,2000_Pres-G_VA,VA,Pres-G,Pres-G,Virginia Commonwealth University,370,10/21/2000,596,Al Gore,DEM,40,George W. Bush,REP,54,,-14,11/7/2000,44.44,52.47,-8.04,5.96,-5.96,1,,
6452,7921,854,2000,2000_Pres-G_WI,WI,Pres-G,Pres-G,St. Norbert College,313,10/21/2000,413,Al Gore,DEM,46,George W. Bush,REP,39,,7,11/7/2000,47.83,47.61,0.22,6.78,6.78,1,,
6420,7888,40,2000,2000_Pres-G_US,US,Pres-G,Pres-G,ABC News/The Washington Post,3,10/22/2000,1070,Al Gore,DEM,47.5,George W. Bush,REP,47,,0.5,11/7/2000,48.38,47.87,0.52,0.02,-0.02,1,average of multiple versions or turnout models listed in poll,
6418,7885,40,2000,2000_Pres-G_US,US,Pres-G,Pres-G,Gallup,112,10/22/2000,752,Al Gore,DEM,46,George W. Bush,REP,45,,1,11/7/2000,48.38,47.87,0.52,0.48,0.48,1,,
63612,117076,40,2000,2000_Pres-G_US,US,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,277,10/22/2000,3750,Al Gore,DEM,47,George W. Bush,REP,41,,6,11/7/2000,48.38,47.87,0.52,5.48,5.48,1,,
6431,7900,40,2000,2000_Pres-G_US,US,Pres-G,Pres-G,Wirthlin Worldwide,387,10/22/2000,751,Al Gore,DEM,43,George W. Bush,REP,47,,-4,11/7/2000,48.38,47.87,0.52,4.52,-4.52,0,,
6424,7892,815,2000,2000_Pres-G_FL,FL,Pres-G,Pres-G,American Research Group,9,10/22/2000,600,Al Gore,DEM,49,George W. Bush,REP,45,,4,11/7/2000,48.84,48.85,-0.01,4.01,4.01,0,,
63609,117073,816,2000,2000_Pres-G_GA,GA,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,277,10/22/2000,1029,Al Gore,DEM,40,George W. Bush,REP,50,,-10,11/7/2000,42.98,54.67,-11.69,1.69,1.69,1,,
6433,7902,817,2000,2000_Pres-G_HI,HI,Pres-G,Pres-G,Ward Research (Honolulu Star-Advertiser),375,10/22/2000,261,Al Gore,DEM,50,George W. Bush,REP,31,,19,11/7/2000,55.79,37.46,18.33,0.67,0.67,1,,
6421,7889,820,2000,2000_Pres-G_IL,IL,Pres-G,Pres-G,Market Shares Corp.,187,10/22/2000,899,Al Gore,DEM,45,George W. Bush,REP,35,,10,11/7/2000,54.6,42.58,12.01,2.01,-2.01,1,,
25884,117039,827,2000,2000_Pres-G_ME,ME,Pres-G,Pres-G,Pan Atlantic Research,249,10/22/2000,400,Al Gore,DEM,47,George W. Bush,REP,36,,11,11/7/2000,49.09,43.97,5.11,5.89,5.89,1,,
63610,117074,827,2000,2000_Pres-G_ME,ME,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,277,10/22/2000,1548,Al Gore,DEM,39,George W. Bush,REP,43,,-4,11/7/2000,49.09,43.97,5.11,9.11,-9.11,0,,
6427,7895,827,2000,2000_Pres-G_ME,ME,Pres-G,Pres-G,Strategic Services,319,10/22/2000,400,Al Gore,DEM,42,George W. Bush,REP,34,,8,11/7/2000,49.09,43.97,5.11,2.89,2.89,1,,
6425,7893,828,2000,2000_Pres-G_MI,MI,Pres-G,Pres-G,American Research Group,9,10/22/2000,600,Al Gore,DEM,46,George W. Bush,REP,43,,3,11/7/2000,51.28,46.14,5.13,2.13,-2.13,1,,
